farm,year,month,inventory,lep_av,lep_tot,cal_av,cal_tot
Potts Bay,2001,2,NA,NA,NA,NA,NA
Potts Bay,2001,3,NA,NA,NA,NA,NA
Potts Bay,2001,4,NA,NA,NA,NA,NA
Potts Bay,2001,5,17706,NA,NA,NA,NA
Potts Bay,2001,6,17485,NA,NA,NA,NA
Potts Bay,2001,7,7367,NA,NA,NA,NA
Potts Bay,2001,8,7327,NA,NA,NA,NA
Potts Bay,2001,9,7472,NA,NA,NA,NA
Potts Bay,2001,10,7404,NA,NA,NA,NA
Potts Bay,2001,11,6694,NA,NA,NA,NA
Potts Bay,2001,12,6416,NA,NA,NA,NA
Potts Bay,2002,1,19880,NA,NA,NA,NA
Potts Bay,2002,2,19782,NA,NA,NA,NA
Potts Bay,2002,3,19746,NA,NA,NA,NA
Potts Bay,2002,4,19705,NA,NA,NA,NA
Potts Bay,2002,5,19665,NA,NA,NA,NA
Potts Bay,2002,6,19890,NA,NA,NA,NA
Potts Bay,2002,7,7386,NA,NA,NA,NA
Potts Bay,2002,8,5527,NA,NA,NA,NA
Potts Bay,2002,9,5300,NA,NA,NA,NA
Potts Bay,2002,10,5098,NA,NA,NA,NA
Potts Bay,2002,11,4411,NA,NA,NA,NA
Potts Bay,2002,12,4322,NA,NA,NA,NA
Port Elizabeth,2000,1,37959,NA,NA,NA,NA
Port Elizabeth,2000,2,NA,NA,NA,NA,NA
Port Elizabeth,2000,3,NA,NA,NA,NA,NA
Port Elizabeth,2000,4,NA,NA,NA,NA,NA
Port Elizabeth,2000,5,NA,NA,NA,NA,NA
Port Elizabeth,2000,6,NA,NA,NA,NA,NA
Port Elizabeth,2000,7,NA,NA,NA,NA,NA
Port Elizabeth,2000,8,NA,NA,NA,NA,NA
Port Elizabeth,2000,9,397165,NA,NA,NA,NA
Port Elizabeth,2000,10,396933,NA,NA,NA,NA
Port Elizabeth,2000,11,396744,NA,NA,NA,NA
Port Elizabeth,2000,12,396565,NA,NA,NA,NA
Port Elizabeth,2001,1,396299,NA,NA,NA,NA
Port Elizabeth,2001,2,396293,NA,NA,NA,NA
Port Elizabeth,2001,3,395945,NA,NA,NA,NA
Port Elizabeth,2001,4,395728,NA,NA,NA,NA
Port Elizabeth,2001,5,395539,NA,NA,NA,NA
Port Elizabeth,2001,6,395311,NA,NA,0,0
Port Elizabeth,2001,7,392362,19.55,7670677.100000001,0,0
Port Elizabeth,2001,8,389593,NA,NA,0,0
Port Elizabeth,2001,9,290889,NA,NA,0,0
Port Elizabeth,2001,10,219719,NA,NA,0,0
Port Elizabeth,2001,11,68112,NA,NA,0,0
Port Elizabeth,2001,12,8129,NA,NA,0,0
Port Elizabeth,2002,1,NA,NA,NA,NA,NA
Port Elizabeth,2002,2,NA,NA,NA,NA,NA
Port Elizabeth,2002,3,NA,NA,NA,NA,NA
Port Elizabeth,2002,4,962597,NA,NA,NA,NA
Port Elizabeth,2002,5,1276845,NA,NA,NA,NA
Port Elizabeth,2002,6,1255645,NA,NA,NA,NA
Port Elizabeth,2002,7,1193270,NA,NA,NA,NA
Port Elizabeth,2002,8,1139780,NA,NA,NA,NA
Port Elizabeth,2002,9,1135008,NA,NA,NA,NA
Port Elizabeth,2002,10,1130236,NA,NA,NA,NA
Port Elizabeth,2002,11,1128871,NA,NA,NA,NA
Port Elizabeth,2002,12,605921,1.8,1090657.8,0,0
Arrow Passage,2005,1,264008,0.166666666666667,44001.3333333333,0.166666666666667,44001.3333333333
Arrow Passage,2005,2,500788,0.416666666666667,208661.666666667,0.416666666666667,208661.666666667
Arrow Passage,2005,3,640620,0.608333333333333,389710.5,0.433333333333333,277602
Arrow Passage,2005,4,619355,0.983333333333333,609032.416666667,0.375,232258.125
Arrow Passage,2005,5,611803,1.31666666666667,805540.616666667,0.866666666666667,530229.266666667
Arrow Passage,2005,6,607984,1.2,729580.8,0.616666666666667,374923.466666667
Arrow Passage,2005,7,598193,1.35,807560.55,0.8,478554.4
Arrow Passage,2005,8,591433,0.4,236573.2,0,0
Arrow Passage,2005,9,64773,0,0,0.05,3238.65
Arrow Passage,2006,1,966659,0.4,386663.6,0.125,120832.375
Arrow Passage,2006,2,1207640,0.55,664202,0.1,120764
Arrow Passage,2006,3,1160483,0.55,638265.65,0.266666666666667,309462.133333333
Arrow Passage,2006,4,1178427,0.433333333333333,510651.7,0.0833333333333333,98202.25
