year,unid_cope,lep_cope,cal_cope,chala,chalb,chal_unid,lep_pamale,lep_male,lep_nongravid,lep_gravid,lep_pafemale,cal_mot,cal_gravid,unid_adult,unid_pa,lep_mot,all_lice,all_sp_mot,all_mot,all_sp_cope,all_cope,all_chal,prop_lep_mot,prop_lep_cope,obs_id
2001,0,0,0,1,2,0,0,0,0,0,0,0,0,1,1,1,5,1,2,0,0,3,1,NA,158
2001,0,0,0,23,1,0,0,0,0,0,0,0,0,2,1,1,27,1,3,0,0,24,1,NA,159
2001,0,0,0,15,6,0,0,0,0,0,0,0,0,0,6,6,27,6,6,0,0,21,1,NA,160
2001,0,0,0,2,2,0,0,0,0,0,0,0,0,2,4,4,10,4,6,0,0,4,1,NA,161
2001,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,NA,NA,162
2001,0,0,0,19,3,0,0,0,0,0,0,0,0,1,2,2,25,2,3,0,0,22,1,NA,163
2001,0,0,0,4,2,0,0,0,0,0,0,0,0,0,5,5,11,5,5,0,0,6,1,NA,164
2001,0,0,0,3,1,0,0,0,0,0,0,0,0,4,7,7,15,7,11,0,0,4,1,NA,165
2001,0,0,0,16,0,0,0,0,0,0,0,0,0,0,2,2,18,2,2,0,0,16,1,NA,166
2001,0,0,0,11,3,0,0,0,0,0,0,0,0,3,1,1,18,1,4,0,0,14,1,NA,167
2001,0,0,0,25,0,0,0,0,0,0,0,0,0,0,8,8,33,8,8,0,0,25,1,NA,168
2001,0,0,0,24,1,0,0,0,0,0,0,0,0,4,2,2,31,2,6,0,0,25,1,NA,169
2001,0,0,0,11,7,0,0,0,0,0,0,0,0,1,4,4,23,4,5,0,0,18,1,NA,170
2001,0,0,0,6,8,0,0,0,0,0,0,0,0,0,4,4,18,4,4,0,0,14,1,NA,171
2001,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,1,4,1,1,0,0,3,1,NA,172
2001,0,0,0,15,3,0,0,0,0,0,0,0,0,1,2,2,21,2,3,0,0,18,1,NA,173
2001,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,3,1,2,0,0,1,1,NA,174
2001,0,0,0,33,1,0,0,0,0,0,0,0,0,1,8,8,43,8,9,0,0,34,1,NA,175
2001,0,0,0,14,2,0,0,0,0,0,0,0,0,2,3,3,21,3,5,0,0,16,1,NA,176
2001,0,0,0,35,12,0,0,0,0,0,0,0,0,6,2,2,55,2,8,0,0,47,1,NA,177
2001,0,0,0,17,7,0,0,0,0,0,0,0,0,1,4,4,29,4,5,0,0,24,1,NA,178
2001,0,0,0,15,2,0,0,0,0,0,0,0,0,2,1,1,20,1,3,0,0,17,1,NA,179
2001,0,0,0,11,6,0,0,0,0,0,0,0,0,3,4,4,24,4,7,0,0,17,1,NA,180
2001,0,0,0,7,4,0,0,0,0,0,0,0,0,4,5,5,20,5,9,0,0,11,1,NA,181
2001,0,0,0,14,2,0,0,0,0,0,0,0,0,0,2,2,18,2,2,0,0,16,1,NA,182
2001,0,0,0,0,9,0,0,0,0,0,0,0,0,2,1,1,12,1,3,0,0,9,1,NA,183
2001,0,0,0,12,0,0,0,0,0,0,0,0,0,2,1,1,15,1,3,0,0,12,1,NA,184
2001,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,1,5,1,1,0,0,4,1,NA,185
2001,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,3,1,2,0,0,1,1,NA,186
2001,0,0,0,25,2,0,0,0,0,0,0,0,0,1,1,1,29,1,2,0,0,27,1,NA,187
2001,0,0,0,7,3,0,0,0,0,0,0,0,0,7,3,3,20,3,10,0,0,10,1,NA,188
2001,0,0,0,9,6,0,0,0,0,0,0,0,0,5,6,6,26,6,11,0,0,15,1,NA,189
2001,0,0,0,25,1,0,0,0,0,0,0,0,0,1,1,1,28,1,2,0,0,26,1,NA,190
2001,0,0,0,35,3,0,0,0,0,0,0,0,0,2,1,1,41,1,3,0,0,38,1,NA,191
2001,0,0,0,8,0,0,0,0,0,0,0,0,0,2,3,3,13,3,5,0,0,8,1,NA,192
2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,193
2001,0,0,0,1,1,0,0,0,0,0,0,0,0,6,6,6,14,6,12,0,0,2,1,NA,194
2001,0,0,0,9,2,0,0,0,0,0,0,0,0,5,3,3,19,3,8,0,0,11,1,NA,195
2001,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,4,0,1,0,0,3,NA,NA,196
2001,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,1,7,1,1,0,0,6,1,NA,197
2001,0,0,0,21,9,0,0,0,0,0,0,0,0,0,2,2,32,2,2,0,0,30,1,NA,198
2001,0,0,0,6,2,0,0,0,0,0,0,0,0,1,1,1,10,1,2,0,0,8,1,NA,199
2001,0,0,0,1,2,0,0,0,0,0,0,0,0,1,3,3,7,3,4,0,0,3,1,NA,200
2001,0,0,0,0,2,0,0,0,0,0,0,0,0,3,3,3,8,3,6,0,0,2,1,NA,201
2001,0,0,0,5,0,0,0,0,0,0,0,0,0,1,1,1,7,1,2,0,0,5,1,NA,202
2001,0,0,0,3,4,0,0,0,0,0,0,0,0,3,4,4,14,4,7,0,0,7,1,NA,203
2001,0,0,0,26,2,0,0,0,0,0,0,0,0,8,1,1,37,1,9,0,0,28,1,NA,204
2001,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,4,0,1,0,0,3,NA,NA,205
2001,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,3,1,1,0,0,2,1,NA,206
2001,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,5,3,5,0,0,0,1,NA,207
2001,0,0,0,2,7,0,0,0,0,0,0,0,0,2,5,5,16,5,7,0,0,9,1,NA,208
2001,0,0,0,49,2,0,0,0,0,0,0,0,0,1,15,15,67,15,16,0,0,51,1,NA,209
2001,0,0,0,6,2,0,0,0,0,0,0,0,0,4,1,1,13,1,5,0,0,8,1,NA,210
2001,0,0,0,45,1,0,0,0,0,0,0,0,0,2,2,2,50,2,4,0,0,46,1,NA,211
2001,0,0,0,6,3,0,0,0,0,0,0,0,0,1,1,1,11,1,2,0,0,9,1,NA,212
2001,0,0,0,7,2,0,0,0,0,0,0,0,0,2,0,0,11,0,2,0,0,9,NA,NA,213
