all_lice,all_lep,all_cal,month,year,day,date,farm_name,week
5,3,2,4,2002,26,2002-04-26,Burdwood,17
2,1,1,4,2002,26,2002-04-26,Burdwood,17
3,3,0,4,2002,26,2002-04-26,Burdwood,17
3,3,0,4,2002,26,2002-04-26,Burdwood,17
4,2,2,4,2002,26,2002-04-26,Burdwood,17
3,3,0,4,2002,26,2002-04-26,Burdwood,17
3,2,1,4,2002,26,2002-04-26,Burdwood,17
10,6,4,4,2002,26,2002-04-26,Wicklow,17
15,11,4,4,2002,26,2002-04-26,Wicklow,17
2,1,1,4,2002,26,2002-04-26,Wicklow,17
12,11,1,4,2002,26,2002-04-26,Wicklow,17
5,4,1,4,2002,26,2002-04-26,Wicklow,17
4,4,0,4,2002,26,2002-04-26,Wicklow,17
10,9,1,4,2002,26,2002-04-26,Wicklow,17
6,5,1,4,2002,26,2002-04-26,Wicklow,17
9,6,3,4,2002,26,2002-04-26,Wicklow,17
14,13,1,4,2002,26,2002-04-26,Wicklow,17
7,3,4,4,2002,26,2002-04-26,Wicklow,17
5,3,2,4,2002,26,2002-04-26,Wicklow,17
3,2,1,4,2002,26,2002-04-26,Wicklow,17
9,8,1,4,2002,26,2002-04-26,Wicklow,17
2,1,1,4,2002,26,2002-04-26,Wicklow,17
9,7,2,4,2002,26,2002-04-26,Wicklow,17
8,8,0,4,2002,26,2002-04-26,Wicklow,17
8,5,3,4,2002,26,2002-04-26,Wicklow,17
14,13,1,4,2002,26,2002-04-26,Wicklow,17
13,11,2,4,2002,26,2002-04-26,Wicklow,17
12,9,3,4,2002,26,2002-04-26,Wicklow,17
0,0,0,5,2002,1,2002-05-01,Glacier,18
0,0,0,5,2002,1,2002-05-01,Glacier,18
0,0,0,5,2002,1,2002-05-01,Glacier,18
0,0,0,5,2002,1,2002-05-01,Glacier,18
0,0,0,5,2002,1,2002-05-01,Glacier,18
0,0,0,5,2002,1,2002-05-01,Glacier,18
0,0,0,5,2002,1,2002-05-01,Glacier,18
10,10,0,5,2002,1,2002-05-01,Glacier,18
4,3,1,5,2002,1,2002-05-01,Glacier,18
5,5,0,5,2002,1,2002-05-01,Glacier,18
9,9,0,5,2002,1,2002-05-01,Glacier,18
7,6,1,5,2002,1,2002-05-01,Glacier,18
4,2,2,5,2002,1,2002-05-01,Glacier,18
3,2,1,5,2002,1,2002-05-01,Glacier,18
8,6,2,5,2002,1,2002-05-01,Glacier,18
3,3,0,5,2002,1,2002-05-01,Glacier,18
3,3,0,5,2002,1,2002-05-01,Glacier,18
3,3,0,5,2002,1,2002-05-01,Glacier,18
5,4,1,5,2002,1,2002-05-01,Glacier,18
1,1,0,5,2002,1,2002-05-01,Glacier,18
5,5,0,5,2002,1,2002-05-01,Glacier,18
0,0,0,5,2002,3,2002-05-03,Burdwood,18
0,0,0,5,2002,3,2002-05-03,Burdwood,18
0,0,0,5,2002,3,2002-05-03,Burdwood,18
0,0,0,5,2002,3,2002-05-03,Burdwood,18
4,4,0,5,2002,3,2002-05-03,Burdwood,18
0,0,0,5,2002,3,2002-05-03,Burdwood,18
4,3,1,5,2002,3,2002-05-03,Burdwood,18
5,5,0,5,2002,3,2002-05-03,Burdwood,18
1,1,0,5,2002,3,2002-05-03,Burdwood,18
0,0,0,5,2002,3,2002-05-03,Burdwood,18
0,0,0,5,2002,3,2002-05-03,Burdwood,18
3,3,0,5,2002,3,2002-05-03,Burdwood,18
4,3,1,5,2002,3,2002-05-03,Burdwood,18
2,2,0,5,2002,3,2002-05-03,Burdwood,18
2,2,0,5,2002,3,2002-05-03,Burdwood,18
0,0,0,5,2002,3,2002-05-03,Burdwood,18
6,6,0,5,2002,3,2002-05-03,Burdwood,18
2,1,1,5,2002,3,2002-05-03,Burdwood,18
5,1,4,5,2002,3,2002-05-03,Burdwood,18
10,8,2,5,2002,3,2002-05-03,Burdwood,18
4,3,1,5,2002,3,2002-05-03,Burdwood,18
10,10,0,5,2002,3,2002-05-03,Burdwood,18
0,0,0,5,2002,3,2002-05-03,Wicklow,18
3,1,2,5,2002,3,2002-05-03,Wicklow,18
1,1,0,5,2002,3,2002-05-03,Wicklow,18
0,0,0,5,2002,3,2002-05-03,Wicklow,18
1,1,0,5,2002,3,2002-05-03,Wicklow,18
0,0,0,5,2002,3,2002-05-03,Wicklow,18
1,1,0,5,2002,3,2002-05-03,Wicklow,18
2,2,0,5,2002,3,2002-05-03,Wicklow,18
1,1,0,5,2002,3,2002-05-03,Wicklow,18
4,4,0,5,2002,3,2002-05-03,Wicklow,18
2,2,0,5,2002,3,2002-05-03,Wicklow,18
4,3,1,5,2002,3,2002-05-03,Wicklow,18
1,1,0,5,2002,3,2002-05-03,Wicklow,18
5,5,0,5,2002,3,2002-05-03,Wicklow,18
4,3,1,5,2002,3,2002-05-03,Wicklow,18
3,3,0,5,2002,3,2002-05-03,Wicklow,18
10,9,1,5,2002,3,2002-05-03,Wicklow,18
1,1,0,5,2002,3,2002-05-03,Wicklow,18
1,1,0,5,2002,3,2002-05-03,Wicklow,18
8,7,1,5,2002,7,2002-05-07,Burdwood,19
10,10,0,5,2002,7,2002-05-07,Burdwood,19
6,6,0,5,2002,7,2002-05-07,Burdwood,19
6,5,1,5,2002,7,2002-05-07,Burdwood,19
12,10,2,5,2002,7,2002-05-07,Burdwood,19
9,7,2,5,2002,7,2002-05-07,Burdwood,19
6,5,1,5,2002,7,2002-05-07,Burdwood,19
3,2,1,5,2002,7,2002-05-07,Burdwood,19
4,3,1,5,2002,7,2002-05-07,Burdwood,19
7,5,2,5,2002,7,2002-05-07,Burdwood,19
12,12,0,5,2002,7,2002-05-07,Burdwood,19
9,7,2,5,2002,7,2002-05-07,Burdwood,19
6,6,0,5,2002,7,2002-05-07,Burdwood,19
5,5,0,5,2002,7,2002-05-07,Burdwood,19
7,7,0,5,2002,7,2002-05-07,Burdwood,19
5,5,0,5,2002,7,2002-05-07,Burdwood,19
9,6,3,5,2002,7,2002-05-07,Burdwood,19
4,3,1,5,2002,7,2002-05-07,Burdwood,19
13,9,4,5,2002,7,2002-05-07,Burdwood,19
3,1,2,5,2002,7,2002-05-07,Burdwood,19
6,3,3,5,2002,7,2002-05-07,Glacier,19
10,9,1,5,2002,7,2002-05-07,Glacier,19
3,3,0,5,2002,7,2002-05-07,Glacier,19
6,4,2,5,2002,7,2002-05-07,Glacier,19
3,3,0,5,2002,7,2002-05-07,Glacier,19
7,4,3,5,2002,7,2002-05-07,Glacier,19
8,7,1,5,2002,7,2002-05-07,Glacier,19
7,5,2,5,2002,7,2002-05-07,Glacier,19
6,5,1,5,2002,7,2002-05-07,Glacier,19
8,6,2,5,2002,7,2002-05-07,Glacier,19
5,5,0,5,2002,7,2002-05-07,Glacier,19
5,5,0,5,2002,7,2002-05-07,Glacier,19
4,4,0,5,2002,7,2002-05-07,Glacier,19
8,6,2,5,2002,7,2002-05-07,Glacier,19
6,5,1,5,2002,7,2002-05-07,Glacier,19
3,3,0,5,2002,7,2002-05-07,Glacier,19
1,1,0,5,2002,7,2002-05-07,Glacier,19
11,7,4,5,2002,7,2002-05-07,Glacier,19
9,9,0,5,2002,7,2002-05-07,Glacier,19
6,6,0,5,2002,7,2002-05-07,Glacier,19
9,8,1,5,2002,7,2002-05-07,Glacier,19
2,2,0,5,2002,9,2002-05-09,Wicklow,19
2,2,0,5,2002,9,2002-05-09,Wicklow,19
2,2,0,5,2002,9,2002-05-09,Wicklow,19
2,1,1,5,2002,9,2002-05-09,Wicklow,19
5,4,1,5,2002,9,2002-05-09,Wicklow,19
1,1,0,5,2002,9,2002-05-09,Wicklow,19
2,2,0,5,2002,9,2002-05-09,Wicklow,19
5,4,1,5,2002,9,2002-05-09,Wicklow,19
1,1,0,5,2002,9,2002-05-09,Wicklow,19
3,2,1,5,2002,9,2002-05-09,Wicklow,19
2,2,0,5,2002,9,2002-05-09,Wicklow,19
1,1,0,5,2002,9,2002-05-09,Wicklow,19
2,2,0,5,2002,9,2002-05-09,Wicklow,19
2,1,1,5,2002,9,2002-05-09,Wicklow,19
0,0,0,5,2002,9,2002-05-09,Wicklow,19
4,3,1,5,2002,9,2002-05-09,Wicklow,19
2,1,1,5,2002,9,2002-05-09,Wicklow,19
4,3,1,5,2002,9,2002-05-09,Wicklow,19
0,0,0,5,2002,9,2002-05-09,Wicklow,19
4,3,1,5,2002,9,2002-05-09,Wicklow,19
1,1,0,5,2002,9,2002-05-09,Wicklow,19
1,1,0,5,2002,9,2002-05-09,Wicklow,19
2,2,0,5,2002,9,2002-05-09,Wicklow,19
