effect,group,term,estimate,std.error,statistic
fixed,NA,S:population_namefour_lakes_creek_even,-0.002663141843899703,0.0018848904123416525,-1.4128894849601399
fixed,NA,S:population_nameatnarko_spawning_channel_even,-7.602558256832334e-5,3.503356242124557e-5,-2.17007855650497
fixed,NA,S:population_nameatnarko_spawning_channel_odd,-1.6534961609529763e-4,4.8382545368561955e-5,-3.4175468619048437
fixed,NA,S:population_namenekite_spawning_channel_odd,-9.018959735321942e-4,4.097481304302554e-4,-2.201098446953644
fixed,NA,S:population_namejenny_bay_west_creek_odd,-2.413583880790506e-4,1.0972184090309534e-4,-2.199729662685979
fixed,NA,S:population_namejenny_bay_south_creek_odd,-5.21307072699091e-4,2.0467077651085576e-4,-2.5470518145585914
fixed,NA,S:population_namejenny_bay_east_creek_odd,-0.0018687182828946802,0.0011723415130994097,-1.5940050420582699
ran_pars,area:year_fac,sd__(Intercept),0.4732738569749146,NA,NA
ran_pars,year_fac,sd__(Intercept),0.6668085867276462,NA,NA
ran_pars,Residual,sd__Observation,1.1725194856172232,NA,NA
