all_lice,all_lep,all_cal,month,year,day,date,farm,week,farm_week
9,0,0,4,2002,25,2002-04-25,Glacier,17,Glacier17
3,0,0,4,2002,25,2002-04-25,Glacier,17,Glacier17
4,0,0,4,2002,25,2002-04-25,Glacier,17,Glacier17
1,0,0,4,2002,25,2002-04-25,Glacier,17,Glacier17
3,0,0,4,2002,25,2002-04-25,Glacier,17,Glacier17
4,0,0,4,2002,25,2002-04-25,Glacier,17,Glacier17
4,0,0,4,2002,25,2002-04-25,Glacier,17,Glacier17
2,0,0,4,2002,26,2002-04-26,Burdwood,17,Burdwood17
3,0,0,4,2002,26,2002-04-26,Burdwood,17,Burdwood17
8,0,0,4,2002,26,2002-04-26,Burdwood,17,Burdwood17
1,0,0,4,2002,26,2002-04-26,Burdwood,17,Burdwood17
6,0,0,4,2002,26,2002-04-26,Burdwood,17,Burdwood17
3,0,0,4,2002,26,2002-04-26,Burdwood,17,Burdwood17
1,0,0,4,2002,26,2002-04-26,Burdwood,17,Burdwood17
4,0,0,4,2002,26,2002-04-26,Burdwood,17,Burdwood17
6,0,0,4,2002,26,2002-04-26,Burdwood,17,Burdwood17
2,0,0,4,2002,26,2002-04-26,Burdwood,17,Burdwood17
1,0,0,4,2002,26,2002-04-26,Burdwood,17,Burdwood17
3,0,0,4,2002,26,2002-04-26,Burdwood,17,Burdwood17
2,0,0,4,2002,26,2002-04-26,Burdwood,17,Burdwood17
4,0,0,4,2002,26,2002-04-26,Burdwood,17,Burdwood17
3,0,0,4,2002,26,2002-04-26,Burdwood,17,Burdwood17
5,0,0,4,2002,26,2002-04-26,Burdwood,17,Burdwood17
2,0,0,4,2002,26,2002-04-26,Burdwood,17,Burdwood17
3,0,0,4,2002,26,2002-04-26,Burdwood,17,Burdwood17
3,0,0,4,2002,26,2002-04-26,Burdwood,17,Burdwood17
4,0,0,4,2002,26,2002-04-26,Burdwood,17,Burdwood17
3,0,0,4,2002,26,2002-04-26,Burdwood,17,Burdwood17
3,0,0,4,2002,26,2002-04-26,Burdwood,17,Burdwood17
10,0,0,4,2002,26,2002-04-26,Wicklow,17,Wicklow17
15,0,0,4,2002,26,2002-04-26,Wicklow,17,Wicklow17
2,0,0,4,2002,26,2002-04-26,Wicklow,17,Wicklow17
12,0,0,4,2002,26,2002-04-26,Wicklow,17,Wicklow17
5,0,0,4,2002,26,2002-04-26,Wicklow,17,Wicklow17
4,0,0,4,2002,26,2002-04-26,Wicklow,17,Wicklow17
10,0,0,4,2002,26,2002-04-26,Wicklow,17,Wicklow17
6,0,0,4,2002,26,2002-04-26,Wicklow,17,Wicklow17
9,0,0,4,2002,26,2002-04-26,Wicklow,17,Wicklow17
14,0,0,4,2002,26,2002-04-26,Wicklow,17,Wicklow17
7,0,0,4,2002,26,2002-04-26,Wicklow,17,Wicklow17
5,0,0,4,2002,26,2002-04-26,Wicklow,17,Wicklow17
3,0,0,4,2002,26,2002-04-26,Wicklow,17,Wicklow17
9,0,0,4,2002,26,2002-04-26,Wicklow,17,Wicklow17
2,0,0,4,2002,26,2002-04-26,Wicklow,17,Wicklow17
9,0,0,4,2002,26,2002-04-26,Wicklow,17,Wicklow17
8,0,0,4,2002,26,2002-04-26,Wicklow,17,Wicklow17
8,0,0,4,2002,26,2002-04-26,Wicklow,17,Wicklow17
14,1,0,4,2002,26,2002-04-26,Wicklow,17,Wicklow17
13,0,0,4,2002,26,2002-04-26,Wicklow,17,Wicklow17
12,0,0,4,2002,26,2002-04-26,Wicklow,17,Wicklow17
0,0,0,5,2002,1,2002-05-01,Glacier,18,Glacier18
0,0,0,5,2002,1,2002-05-01,Glacier,18,Glacier18
0,0,0,5,2002,1,2002-05-01,Glacier,18,Glacier18
0,0,0,5,2002,1,2002-05-01,Glacier,18,Glacier18
0,0,0,5,2002,1,2002-05-01,Glacier,18,Glacier18
0,0,0,5,2002,1,2002-05-01,Glacier,18,Glacier18
0,0,0,5,2002,1,2002-05-01,Glacier,18,Glacier18
10,0,0,5,2002,1,2002-05-01,Glacier,18,Glacier18
4,0,0,5,2002,1,2002-05-01,Glacier,18,Glacier18
5,0,0,5,2002,1,2002-05-01,Glacier,18,Glacier18
9,0,0,5,2002,1,2002-05-01,Glacier,18,Glacier18
7,0,0,5,2002,1,2002-05-01,Glacier,18,Glacier18
4,0,0,5,2002,1,2002-05-01,Glacier,18,Glacier18
3,0,0,5,2002,1,2002-05-01,Glacier,18,Glacier18
8,0,0,5,2002,1,2002-05-01,Glacier,18,Glacier18
3,0,0,5,2002,1,2002-05-01,Glacier,18,Glacier18
3,0,0,5,2002,1,2002-05-01,Glacier,18,Glacier18
3,0,0,5,2002,1,2002-05-01,Glacier,18,Glacier18
